assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
1687,1164875,4500,ascendant,1148,6165,377,6198,1171370
1681,1184661,4445,ascendant,1270,6019,376,6165,1117227
1678,1197634,4388,ascendant,1290,6031,373,6107,1160942
1678,1206472,4962,ascendant,1273,7276,421,6349,1354761
1676,1093645,4750,ascendant,1170,6361,349,5577,1216618
1670,1203875,5221,ascendant,1190,7344,391,6218,1325888
1667,1099588,4486,ascendant,1155,6161,337,5496,1178846
1665,1221234,4995,ascendant,1307,6932,402,6386,1271296
1663,1128358,3810,diamond,1024,6443,351,5681,1218362
1661,1147233,4226,immortal,1211,6067,347,5846,1115940
1658,1076933,4263,ascendant,1224,5862,333,5422,1122673
1653,1228314,4252,immortal,1329,6652,402,6400,1231064
1650,1216955,4222,ascendant,1435,5840,355,6376,1101895
1647,1085225,4175,ascendant,1243,6194,343,5688,1165579
1647,1175098,4358,diamond,1223,5912,375,6046,1120255
1644,1303245,5435,ascendant,1259,6745,401,6895,1302065
1642,1148318,4573,ascendant,1172,6128,358,6141,1154196
1642,1176538,5067,ascendant,1084,6226,404,6233,1136861
1640,1204500,3746,ascendant,1368,6089,403,6371,1084441
1640,1083552,4292,ascendant,1094,5880,337,5694,1101837
1640,1072683,4612,ascendant,1055,6012,332,5388,1124809
1636,1182957,3998,ascendant,1112,5966,389,6211,1152870
1633,1246611,4803,diamond,1383,6415,402,6524,1204227
1621,1207098,4339,ascendant,1179,6524,418,6346,1191069
1613,1084648,4140,ascendant,958,5683,368,5521,1075774
1609,1297933,4622,diamond,1370,6188,388,6501,1178398
1609,1156386,4784,ascendant,1279,7443,385,6047,1351166
1600,1235327,4505,ascendant,1302,6417,423,6390,1205826
1591,1096559,4636,immortal,1227,6504,351,5621,1210394
1587,1059293,4214,ascendant,1143,6080,332,5528,1144783
1586,1097099,4348,ascendant,1078,6060,364,5733,1130991
1584,1111040,4136,ascendant,1026,5549,337,5702,1086546
1579,1091448,4461,ascendant,1326,6293,366,5719,1155220
1566,1166031,4742,ascendant,1115,6365,388,6193,1210402
1561,1202251,4533,ascendant,1378,5901,372,6199,1117586
3860,2002036,7626,immortal,2094,9949,678,10408,1875639
3852,1586844,4988,immortal,1946,7658,477,8343,1438854
3731,1996328,6413,immortal,2401,9370,648,10456,1774736
3674,1213425,4007,immortal,1214,6981,422,6412,1303682
3606,1576712,5375,immortal,1647,7979,556,8339,1521750
3507,1400962,5987,immortal,1470,8193,483,7295,1590483
3239,1530240,5818,immortal,1748,8370,547,8049,1596093
3229,1845146,9730,immortal,2101,11832,578,9588,2202013
3206,1778825,6447,immortal,1696,9151,576,9265,1706471
3189,1999217,7640,immortal,2734,9860,637,10445,1867743
3174,951430,3154,immortal,1072,4658,331,5155,878605
3170,1350701,4437,immortal,1459,6482,406,6864,1235893
3166,1312090,3710,immortal,1287,8069,456,6810,1581317
3157,1496633,5165,immortal,1589,7963,497,7699,1527601
3149,1315101,3775,immortal,1484,5583,355,6686,1056733
3132,2320429,10399,immortal,2840,13421,752,12186,2495044
3126,1237879,4059,immortal,1443,6545,438,6500,1301556
3118,1664892,5113,immortal,2122,7326,526,8868,1380353
3105,1753450,6226,immortal,1753,8903,529,8852,1622567
3102,1508882,5640,immortal,1534,8099,516,7939,1573077
3082,1509748,6137,immortal,1768,8175,504,7772,1529205
3060,1832734,6791,immortal,2173,8878,537,9324,1667194
3053,1345260,5206,immortal,1504,7332,463,7005,1401198
3045,1590869,6862,immortal,1874,9056,555,8319,1702572
3007,1634774,5901,immortal,1808,8664,532,8505,1667719
3005,1455743,5540,immortal,1649,7330,440,7347,1380693
2997,1484145,5794,immortal,1539,7793,505,7776,1478775
2977,1806501,6745,immortal,2188,9662,593,9483,1780443
2974,1293732,4731,immortal,1551,6491,456,6802,1306340
2962,1239148,3582,immortal,1388,5941,441,6581,1167634
2952,1600223,6145,immortal,1940,7956,489,8235,1496127
